x,y,inner_offset,outer_offset
0.0,0.0,6.0,6.0
0.9506900812021868,-0.8718805740673559,6.0,6.0
1.9758081705949684,-1.6588365877766342,6.0,6.0
3.0724226000110595,-2.363588329557344,6.0,6.0
4.237601701283176,-2.9888560878389963,6.0,6.0
5.468413806244034,-3.5373601510510975,6.0,6.0
6.761927246726347,-4.01182080762316,6.0,6.0
8.115210354562832,-4.414958345984692,6.0,6.0
9.5253314615862,-4.749493054565202,6.0,6.0
10.989358899629172,-5.018145221794202,6.0,6.0
12.50436100052446,-5.223635136101197,6.0,6.0
14.067406096104781,-5.368683085915701,6.0,6.0
15.675562518202847,-5.4560093596672194,6.0,6.0
17.325898598651374,-5.488334245785266,6.0,6.0
19.01548266928308,-5.468378032699348,6.0,6.0
20.741383061930684,-5.398861008838973,6.0,6.0
22.500668108426893,-5.2825034626336524,6.0,6.0
24.290406140604418,-5.122025682512896,6.0,6.0
26.10766549029599,-4.920147956906211,6.0,6.0
27.94951448933432,-4.679590574243106,6.0,6.0
29.81302146955211,-4.403073822953094,6.0,6.0
31.695254762782085,-4.093317991465687,6.0,6.0
33.59328270085697,-3.7530433682103856,6.0,6.0
35.50417361560945,-3.384970241616708,6.0,6.0
37.42499583887228,-2.9918189001141533,6.0,6.0
39.35281770247814,-2.5763096321322463,6.0,6.0
41.28470753825977,-2.1411627261004815,6.0,6.0
43.217733678049875,-1.6890984704483731,6.0,6.0
45.14896445368117,-1.2228371536054379,6.0,6.0
47.075468196986364,-0.7450990640011632,6.0,6.0
48.99431323979819,-0.25860449006509434,6.0,6.0
50.90262251480736,0.23397224426552166,6.0,6.0
52.79894411203881,0.7311565513871798,6.0,6.0
54.68335223099046,1.2327585642954222,6.0,6.0
56.55599589209687,1.7386514022919441,6.0,6.0
58.417024115792564,2.248708184678445,6.0,6.0
60.26658592251208,2.7628020307566175,6.0,6.0
62.10483033268995,3.280806059828158,6.0,6.0
63.93190636676073,3.802593391194768,6.0,6.0
65.74796304515895,4.328037144158137,6.0,6.0
67.55314938831913,4.857010438019964,6.0,6.0
69.34761441667582,5.3893863920819465,6.0,6.0
71.1315071506636,5.92503812564578,6.0,6.0
72.90497661071694,6.4638387580131615,6.0,6.0
74.66817181727042,7.005661408485791,6.0,6.0
76.42124179075856,7.550379196365356,6.0,6.0
78.16433555161589,8.09786524095356,6.0,6.0
79.89760212027697,8.647992661552095,6.0,6.0
81.62119051717632,9.20063457746266,6.0,6.0
83.3352497627485,9.755664107986949,6.0,6.0
85.03992887742805,10.312954372426661,6.0,6.0
86.73537688164949,10.872378490083493,6.0,6.0
88.42174279584734,11.43380958025914,6.0,6.0
90.0991756404562,11.997120762255301,6.0,6.0
91.76782443591053,12.562185155373667,6.0,6.0
93.4278382026449,13.128875878915936,6.0,6.0
95.07936596109388,13.697066052183805,6.0,6.0
96.72255673169197,14.266628794478972,6.0,6.0
98.35755953487373,14.837437225103132,6.0,6.0
99.98452339107367,15.409364463357981,6.0,6.0
101.60359732072637,15.98228362854522,6.0,6.0
103.21493034426632,16.55606783996654,6.0,6.0
104.81867148212811,17.130590216923636,6.0,6.0
106.41496975474624,17.705723878718203,6.0,6.0
108.00397418255523,18.281341944651945,6.0,6.0
109.58583378598966,18.85731753402656,6.0,6.0
111.16069758548407,19.43352376614373,6.0,6.0
112.72871460147297,20.00983376030517,6.0,6.0
114.29003385439091,20.58612063581256,6.0,6.0
115.84480436467246,21.16225751196761,6.0,6.0
117.3931751527521,21.738117508072,6.0,6.0
118.93529523906439,22.313573743427444,6.0,6.0
120.47131364404387,22.888499337335627,6.0,6.0
122.00137938812509,23.462767409098245,6.0,6.0
123.52564149174256,24.036251078017006,6.0,6.0
125.04424897533086,24.60882346339359,6.0,6.0
126.55735085932452,25.18035768452971,6.0,6.0
128.065096164158,25.750726860727053,6.0,6.0
129.56763391026595,26.319804111287315,6.0,6.0
131.06511311808285,26.887462555512187,6.0,6.0
132.5576828080432,27.453575312703386,6.0,6.0
134.04549200058167,28.018015502162587,6.0,6.0
135.5286897161327,28.58065624319149,6.0,6.0
137.0074249751308,29.141370655091805,6.0,6.0
138.48184679801057,29.700031857165204,6.0,6.0
139.95210420520652,30.25651296871342,6.0,6.0
141.41834621715319,30.810687109038106,6.0,6.0
142.88072185428516,31.362427397440992,6.0,6.0
144.33938013703687,31.911606953223767,6.0,6.0
145.79447008584293,32.45809889568811,6.0,6.0
147.24614072113795,33.00177634413574,6.0,6.0
148.69454106335627,33.54251241786833,6.0,6.0
150.1398201329326,34.0801802361876,6.0,6.0
151.5821269503014,34.61465291839524,6.0,6.0
153.02161053589725,35.14580358379293,6.0,6.0
154.45841991015462,35.67350535168239,6.0,6.0
155.89270409350817,36.19763134136531,6.0,6.0
157.32461210639235,36.71805467214337,6.0,6.0
158.75429296924165,37.23464846331828,6.0,6.0
160.18189570249072,37.74728583419174,6.0,6.0
161.60756932657404,38.255839904065425,6.0,6.0
163.03146286192617,38.76018379224106,6.0,6.0
164.4537253289816,39.260190618020324,6.0,6.0
165.8745057481749,39.75573350070493,6.0,6.0
167.29395313994064,40.24668555959654,6.0,6.0
168.7122165247133,40.732919913996895,6.0,6.0
170.12944492292746,41.21430968320766,6.0,6.0
171.54578735501764,41.69072798653055,6.0,6.0
172.96139284141836,42.16204794326723,6.0,6.0
174.3764104025642,42.62814267271943,6.0,6.0
175.7909890588897,43.088885294188835,6.0,6.0
177.20527783082935,43.54414892697714,6.0,6.0
178.6194257388177,43.993806690386045,6.0,6.0
180.0335818032894,44.43773170371724,6.0,6.0
